threshold,CER,RR,CER_change
-0.001,0.32043734230445753,0.0,0.0
2.0051970500700733e-11,0.32043734230445753,0.002109704641350211,0.0
2.3948783928195994e-11,0.32043734230445753,0.004219409282700422,0.0
1.3197012926902119e-10,0.32043734230445753,0.006329113924050633,0.0
2.807397647686116e-10,0.32043734230445753,0.008438818565400843,0.0
4.2042930248342714e-10,0.3208578637510513,0.008438818565400843,0.000420521446593769
6.169815769396791e-10,0.3208578637510513,0.010548523206751054,0.000420521446593769
8.336276113851682e-10,0.3208578637510513,0.012658227848101266,0.000420521446593769
1.8185825068073314e-09,0.3208578637510513,0.014767932489451477,0.000420521446593769
2.706097346205638e-09,0.3208578637510513,0.016877637130801686,0.000420521446593769
3.089509537090862e-09,0.3208578637510513,0.0189873417721519,0.000420521446593769
3.828038330766503e-09,0.3208578637510513,0.02109704641350211,0.000420521446593769
5.451158191505101e-09,0.3213835155592935,0.02109704641350211,0.0009461732548359802
1.0520023074889195e-08,0.3213835155592935,0.023206751054852322,0.0009461732548359802
1.4586673202643397e-08,0.3213835155592935,0.02531645569620253,0.0009461732548359802
1.590345988233821e-08,0.32201429772918416,0.02531645569620253,0.0015769554247266337
1.785335967952051e-08,0.32201429772918416,0.027426160337552744,0.0015769554247266337
1.8879646290770324e-08,0.32201429772918416,0.029535864978902954,0.0015769554247266337
2.0528311495127127e-08,0.3219091673675357,0.029535864978902954,0.0014718250630781915
2.6542078757074705e-08,0.3219091673675357,0.03164556962025317,0.0014718250630781915
3.363165745895458e-08,0.3219091673675357,0.03375527426160337,0.0014718250630781915
3.650223234785699e-08,0.3219091673675357,0.035864978902953586,0.0014718250630781915
3.693158134865371e-08,0.3219091673675357,0.035864978902953586,0.0014718250630781915
4.469753633884466e-08,0.3219091673675357,0.0379746835443038,0.0014718250630781915
5.7656379226500576e-08,0.3219091673675357,0.04008438818565401,0.0014718250630781915
6.433958787965821e-08,0.3219091673675357,0.04219409282700422,0.0014718250630781915
6.908246064085688e-08,0.32285534062237176,0.04219409282700422,0.0024179983179142273
7.296117132682411e-08,0.32285534062237176,0.04430379746835443,0.0024179983179142273
8.193211442630854e-08,0.32380151387720774,0.04430379746835443,0.0033641715727502075
9.516369914308598e-08,0.32380151387720774,0.046413502109704644,0.0033641715727502075
1.0774706993288419e-07,0.32380151387720774,0.04852320675105485,0.0033641715727502075
1.183440900831556e-07,0.32380151387720774,0.05063291139240506,0.0033641715727502075
1.3531266063182557e-07,0.32380151387720774,0.052742616033755275,0.0033641715727502075
1.63625770710496e-07,0.32380151387720774,0.05485232067510549,0.0033641715727502075
1.8086262798533426e-07,0.32380151387720774,0.05485232067510549,0.0033641715727502075
1.8874288798542693e-07,0.3244322960470984,0.05485232067510549,0.003994953742640861
1.9394786932025454e-07,0.3247476871320437,0.05485232067510549,0.004310344827586188
2.0390899635458481e-07,0.3257989907485282,0.05485232067510549,0.005361648444070666
2.2538560529028473e-07,0.32642977291841885,0.05485232067510549,0.005992430613961319
2.759768449323019e-07,0.3270605550883095,0.05485232067510549,0.006623212783851973
3.290174959147407e-07,0.3277964676198486,0.05485232067510549,0.0073591253153910685
3.4849449548346456e-07,0.3277964676198486,0.056962025316455694,0.0073591253153910685
3.6133013736616704e-07,0.3277964676198486,0.05907172995780591,0.0073591253153910685
3.8596181184402667e-07,0.3277964676198486,0.06118143459915612,0.0073591253153910685
4.1541551354384865e-07,0.32821698906644237,0.06118143459915612,0.0077796467619848375
4.2965143620676827e-07,0.32821698906644237,0.06329113924050633,0.0077796467619848375
5.197831569603295e-07,0.32821698906644237,0.06540084388185655,0.0077796467619848375
6.188739689605427e-07,0.32821698906644237,0.06751054852320675,0.0077796467619848375
6.41280507807096e-07,0.3286375105130362,0.06751054852320675,0.008200168208578662
6.663150315944222e-07,0.3286375105130362,0.06962025316455696,0.008200168208578662
7.771528771627345e-07,0.3286375105130362,0.07172995780590717,0.008200168208578662
9.050763196682965e-07,0.3291631623212784,0.07172995780590717,0.008725820016820873
9.408204277860932e-07,0.3291631623212784,0.07383966244725738,0.008725820016820873
9.935638445313089e-07,0.3291631623212784,0.0759493670886076,0.008725820016820873
1.053991127264453e-06,0.3291631623212784,0.07805907172995781,0.008725820016820873
1.088078761313227e-06,0.3291631623212784,0.08016877637130802,0.008725820016820873
1.1107522368547507e-06,0.32874264087468463,0.08016877637130802,0.008305298570227104
1.1204913334950106e-06,0.32874264087468463,0.08227848101265822,0.008305298570227104
1.1292177077848464e-06,0.32874264087468463,0.08227848101265822,0.008305298570227104
1.2382563454593765e-06,0.32874264087468463,0.08438818565400844,0.008305298570227104
1.359733687422704e-06,0.32874264087468463,0.08649789029535865,0.008305298570227104
1.3753817711403826e-06,0.32874264087468463,0.08860759493670886,0.008305298570227104
1.4029895964995376e-06,0.32874264087468463,0.09071729957805907,0.008305298570227104
1.4319280126073863e-06,0.32874264087468463,0.09282700421940929,0.008305298570227104
1.5914827145024901e-06,0.32874264087468463,0.09282700421940929,0.008305298570227104
1.757879431352194e-06,0.32874264087468463,0.0949367088607595,0.008305298570227104
1.8093660401063971e-06,0.32958368376787217,0.0949367088607595,0.009146341463414642
